Variable;Dtype;Catégorie
Postcode_district;object;Géographique
IncGeo_BoroughName;object;Géographique
IncGeo_WardNameNew;object;Géographique
IncidentStationGround;object;Géographique
FirstPumpArriving_DeployedFromStation;object;Géographique
DeployedFromStation_Name;object;Géographique
DeployedFromLocation;object;Géographique
IncidentGroup;object;Métier
StopCodeDescription;object;Métier
SpecialServiceType;object;Métier
PropertyCategory;object;Métier
PropertyType;object;Métier
NumStationsWithPumpsAttending;float64;Métier
NumPumpsAttending;float64;Métier
PumpCount;float64;Métier
PerformanceReporting;object;Métier
PlusCode_Code;object;Métier
DelayCode_Description;object;Métier
FirstPumpArriving_AttendanceTime;float64;Temporelle
ReactionTime;int64;Temporelle
YearOfCall;int64;Temporelle
MonthOfCall;int64;Temporelle
DayOfCall;object;Temporelle
DayOfWeekCall;int64;Temporelle
