Variable;Dtype;Catégorie
IncidentNumber;object;Index
DateOfCall;object;Temporelle
CalYear;int64;Temporelle
TimeOfCall;object;Temporelle
HourOfCall;int64;Temporelle
AddressQualifier;object;Géographique
Postcode_full;object;Géographique
UPRN;int64;Géographique
USRN;int64;Géographique
IncGeo_BoroughCode;object;Géographique
ProperCase;object;Géographique
IncGeo_WardCode;object;Géographique
IncGeo_WardName;object;Géographique
Easting_m;float64;Géographique
Northing_m;float64;Géographique
Easting_rounded;int64;Géographique
Northing_rounded;int64;Géographique
Latitude;float64;Géographique
Longitude;float64;Géographique
FRS;object;Géographique
SecondPumpArriving_AttendanceTime;float64;Temporelle
SecondPumpArriving_DeployedFromStation;object;Géographique
PumpHoursRoundUp;float64;Temporelle
Notional Cost (£);float64;Métier
NumCalls;float64;Métier
ResourceMobilisationId;int64;Index
Resource_Code;object;Métier
DateAndTimeMobilised;object;Temporelle
DateAndTimeMobile;object;Temporelle
DateAndTimeArrived;object;Temporelle
TurnoutTimeSeconds;float64;Temporelle
TravelTimeSeconds;float64;Temporelle
AttendanceTimeSeconds;int64;Temporelle
DateAndTimeLeft;object;Temporelle
DateAndTimeReturned;float64;Temporelle
DeployedFromStation_Code;object;Géographique
PumpOrder;int64;Métier
PlusCode_Description;object;Métier
DelayCodeId;float64;Métier
DateAndTimeCall;datetime;Temporelle
